"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"308",89285518,"Bookcases & shelving units",594,TRUE,"No",41,170,189
"309",19285927,"Chairs",4025,TRUE,"No",NA,NA,NA
"310",19278328,"Bookcases & shelving units",745,TRUE,"Yes",39,147,147
"311",29277700,"Sofas & armchairs",3896,TRUE,"Yes",113,84,186
"312",99282538,"Tables & desks",1294,TRUE,"Yes",45,101,61
"313",49256867,"Outdoor furniture",4783,TRUE,"Yes",NA,NA,NA
"314",29214213,"Tables & desks",185,TRUE,"Yes",NA,74,60
"315",59285360,"Sofas & armchairs",205,TRUE,"Yes",93,68,15
"316",49228474,"Chairs",275,TRUE,"No",NA,NA,NA
"317",19221351,"Chairs",2345,TRUE,"No",NA,NA,NA
"318",49297293,"Tables & desks",2575,TRUE,"No",NA,NA,90
"319",89302971,"Cabinets & cupboards",2470,TRUE,"Yes",42,230,240
"320",49285817,"Tables & desks",94,TRUE,"Yes",35,35,35
"321",60365346,"Outdoor furniture",59,TRUE,"No",36,67,39
"322",30451067,"Sofas & armchairs",2795,TRUE,"No",90,86,211
"323",19011777,"Tables & desks",199,TRUE,"No",NA,74,75
"324",39307706,"Tables & desks",5865,TRUE,"No",NA,NA,105
"325",39305868,"Wardrobes",3227,TRUE,"No",66,236,150
"326",19216694,"Tables & desks",80,TRUE,"No",12,56,36
"327",79102958,"Children's furniture",410,TRUE,"Yes",44,52,94
"328",99020476,"Bookcases & shelving units",940,TRUE,"Yes",28,202,200
"329",20439472,"Tables & desks",476,TRUE,"No",47,79,76
"330",19299571,"TV & media furniture",3386,TRUE,"Yes",NA,197,326
"331",59305042,"Chairs",1875,TRUE,"No",NA,74,78
"332",79294542,"Bookcases & shelving units",640,TRUE,"No",36,175,200
"333",89280714,"Tables & desks",5275,TRUE,"No",NA,NA,85
"334",20308701,"Children's furniture",165,TRUE,"No",21,30,93
"335",90372454,"Tables & desks",110,TRUE,"Yes",NA,NA,NA
"336",59279043,"Bookcases & shelving units",386,TRUE,"No",36,94,211
"337",40391718,"Outdoor furniture",65,TRUE,"Yes",62,NA,62
"338",40394830,"Sofas & armchairs",75,TRUE,"Yes",NA,NA,NA
"339",79291398,"TV & media furniture",1899.5,TRUE,"No",42,221,300
"340",59203128,"Bookcases & shelving units",1824.5,TRUE,"Yes",40,192,180
"341",80201740,"Children's furniture",245,TRUE,"No",69,57,37
"342",89297286,"Tables & desks",6065,TRUE,"No",NA,NA,100
"343",39286855,"TV & media furniture",1578,TRUE,"Yes",42,210,300
"344",39903791,"Bookcases & shelving units",196,TRUE,"No",41,85,86
"345",19275235,"Cabinets & cupboards",3680,TRUE,"Yes",47,212,243
"346",39001942,"Tables & desks",475,TRUE,"Yes",NA,74,75
"347",50422210,"Outdoor furniture",49,TRUE,"No",44,NA,44
"348",40407922,"Wardrobes",645,TRUE,"No",50,190,117
"349",19189916,"TV & media furniture",1645,TRUE,"Yes",40,128,240
"350",70395239,"Beds",199,TRUE,"No",NA,NA,144
"351",359739,"Cabinets & cupboards",95,TRUE,"No",NA,7,3
"352",20383465,"Chests of drawers & drawer units",320,TRUE,"No",47,68,40
