Response 1,Right answer 1,Response 2,Right answer 2,Response 3,Right answer 3,Response 4,Right answer 4,Response 5,Right answer 5,Response 6,Right answer 6,Response 7,Right answer 7,Response 8,Right answer 8,Response 9,Right answer 9,Response 10,Right answer 10,Response 11,Right answer 11,Response 12,Right answer 12,Response 13,Right answer 13
45,51,30,37,53,63,29,38,37,42,24,49,33,60,19,30,67,75,32,58,26,50,63,73,24,35
45,51,28,37,60,63,38,38,44,42,30,49,26,60,27,30,58,75,41,58,29,50,62,73,26,35
45,51,30,37,50,63,35,38,44,42,27,49,30,60,28,30,55,75,33,58,35,50,60,73,22,35
50,51,45,37,60,63,50,38,65,42,30,49,35,60,30,30,60,75,20,58,40,50,70,73,30,35
50,51,40,37,52,63,42,38,44,42,36,49,40,60,30,30,56,75,60,58,45,50,67,73,30,35
46,51,30,37,41,63,39,38,42,42,38,49,41,60,43,30,42,75,39,58,44,50,42,73,39,35
-,51,-,37,-,63,-,38,-,42,-,49,-,60,-,30,-,75,-,58,-,50,-,73,-,35
40,51,42,37,50,63,32,38,36,42,28,49,22,60,24,30,54,75,30,58,31,50,60,73,24,35
35,51,32,37,50,63,35,38,45,42,35,49,34,60,30,30,65,75,45,58,50,50,70,73,45,35
55,51,30,37,65,63,40,38,44,42,24,49,18,60,30,30,77,75,40,58,45,50,71,73,27,35
-,51,-,37,-,63,-,38,-,42,-,49,-,60,-,30,-,75,-,58,-,50,-,73,-,35
35,51,32,37,42,63,31,38,44,42,28,49,30,60,22,30,60,75,36,58,38,50,72,73,30,35
47,51,38,37,33,63,43,38,27,42,27,49,25,60,16,30,52,75,25,58,27,50,55,73,54,35
40,51,30,37,50,63,40,38,30,42,27,49,50,60,29,30,60,75,35,58,44,50,55,73,27,35
42,51,37,37,49,63,39,38,41,42,35,49,30,60,28,30,50,75,32,58,36,50,57,73,31,35
-,51,-,37,-,63,-,38,-,42,-,49,-,60,-,30,-,75,-,58,-,50,-,73,-,35
46,51,36,37,40,63,37,38,33,42,23,49,30,60,29,30,58,75,30,58,50,50,62,73,24,35
48,51,45,37,55,63,38,38,44,42,26,49,26,60,25,30,42,75,30,58,33,50,60,73,25,35
36,51,35,37,50,63,54,38,43,42,27,49,36,60,26,30,60,75,32,58,48,50,65,73,33,35
56,51,39,37,68,63,38,38,42,42,51,49,72,60,36,30,77,75,55,58,46,50,78,73,38,35
55,51,46,37,58,63,42,38,43,42,31,49,53,60,33,30,61,75,49,58,44,50,72,73,37,35
35,51,32,37,33,63,28,38,26,42,23,49,20,60,18,30,42,75,30,58,23,50,46,73,32,35
