"County","State","VotesTrump","VotesClinton","PercTrump","PercClinton","PercWhite","HIncome"
"Bremer","Iowa",7199,5349,53.9,40.1,97.2,61216
"Brevard","Florida",181620,119525,57.8,38,83,48039
"Brewster","Texas",2073,1869,49.1,44.2,86.6,40477
"Briscoe","Texas",625,91,85.1,12.4,87.5,36250
"Bristol","Massachusetts",104775,127619,42.6,51.9,88.4,55298
"Bristol","Rhode Island",7468,11455,37.4,57.4,95.7,71238
"Bristol","Virginia",4884,1832,70.1,26.3,90.9,32221
"Broadwater","Montana",2329,566,75.1,18.2,96.2,45932
"Bronx","New York",34424,318403,9.6,88.7,27.9,34388
"Brooke","West Virginia",6574,2549,68.9,26.7,97,42493
"Brookings","South Dakota",6748,4879,53.2,38.5,93.2,46896
"Brooks","Georgia",3679,2504,58.7,39.9,59.9,34419
"Brooks","Texas",613,1937,23.6,74.6,89.6,21865
"Broome","New York",38077,35212,49,45.3,88,45958
"Broomfield","Colorado",14272,19530,38.2,52.3,86.1,77998
"Broward","Florida",258521,546956,31.4,66.5,63.1,51251
"Brown","Illinois",1776,475,76,20.3,76.1,42194
"Brown","Indiana",5015,2518,63.4,31.8,97.6,51568
"Brown","Kansas",2861,850,72.2,21.5,85.1,39968
"Brown","Minnesota",8708,3763,63.7,27.5,97.5,48256
"Brown","Nebraska",1380,153,87.4,9.7,98.2,33647
"Brown","Ohio",14257,4270,74.5,22.3,97.5,44341
"Brown","South Dakota",9613,5452,59.7,33.8,93.2,51398
"Brown","Texas",12010,1621,86.1,11.6,86.5,39776
"Brown","Wisconsin",67192,53358,52.7,41.9,86.5,53119
"Brule","South Dakota",1565,571,68.4,25,88.4,45284
"Brunswick","North Carolina",42440,23117,63.1,34.4,83,46438
"Brunswick","Virginia",3045,4473,39.8,58.5,40.4,36293
"Bryan","Georgia",10513,4010,69.8,26.6,80.2,64707
"Bryan","Oklahoma",10449,2793,75.9,20.3,76.2,38897
"Buchanan","Iowa",5504,3966,54.3,39.1,97.8,55553
"Buchanan","Missouri",21315,12010,59.9,33.8,89.1,44363
"Buchanan","Virginia",7292,1721,79.1,18.7,96.6,29848
"Buckingham","Virginia",3969,3128,54.5,42.9,62.1,38648
"Bucks","Pennsylvania",163873,165861,47.8,48.4,89.2,76555
"Buena Vista","Iowa",4895,2851,59.8,34.9,80.7,46951
"Buena Vista","Virginia",1432,693,59.8,28.9,91,36591
"Buffalo","Nebraska",14424,4690,70.4,22.9,92.7,50963
"Buffalo","South Dakota",171,296,34.9,60.4,14.8,30962
"Buffalo","Wisconsin",4049,2531,58.5,36.6,97.5,47384
"Bullitt","Kentucky",26210,8255,72.7,22.9,96.8,54836
"Bulloch","Georgia",14476,8812,59.9,36.5,67.2,35840
"Bullock","Alabama",1139,3530,24.2,75.1,23,32033
"Buncombe","North Carolina",55339,74937,41.1,55.7,87.4,44713
"Bureau","Illinois",9264,6010,56.8,36.9,94.2,48977
"Burke","Georgia",4491,4730,48,50.6,47.5,31494
"Burke","North Carolina",25741,10930,68.4,29,84.4,37263
"Burke","North Dakota",879,118,85.3,11.4,97.8,53693
"Burleigh","North Dakota",32499,10865,69.3,23.2,93,61811
"Burleson","Texas",5316,1491,76.5,21.5,77.9,45651
"Burlington","New Jersey",79085,107485,40.8,55.5,73.8,78446
"Burnet","Texas",14595,3785,76.6,19.9,88.5,48115
"Burnett","Wisconsin",5412,2948,62.1,33.8,91.6,39564
"Burt","Nebraska",2360,928,67,26.3,95.9,46817
"Butler","Alabama",4891,3716,56.3,42.8,54.4,29918
"Butler","Iowa",4918,2163,66,29,98.4,52026
"Butler","Kansas",18781,6489,69.4,24,93.5,56454
"Butler","Kentucky",4428,947,79.4,17,97,35430
"Butler","Missouri",13647,3036,79.2,17.6,90.8,34969
"Butler","Nebraska",3068,690,78.4,17.6,97.6,50247
"Butler","Ohio",104441,56700,62,33.7,86,56610
"Butler","Pennsylvania",61388,26834,66.7,29.2,96.6,58230
"Butte","California",35354,31638,48.9,43.8,81.9,43752
"Butte","Idaho",914,160,74.3,13,95.5,41131
"Butte","South Dakota",3355,693,77.2,15.9,94.2,41332
"Butts","Georgia",6717,2566,70.9,27.1,69.9,49754
"Cabarrus","North Carolina",53224,35048,58.5,38.5,75.4,53551
"Cabell","West Virginia",19648,11306,60.1,34.6,91.6,38374
"Cache","Utah",12385,5435,46.7,20.5,89.1,49506
"Caddo","Louisiana",48977,53448,46.3,50.5,49,41053
"Caddo","Oklahoma",6473,2418,69.3,25.9,63.1,39267
"Calaveras","California",10126,6225,58.1,35.7,88.9,55295
"Calcasieu","Louisiana",54182,26293,64.7,31.4,70.8,43499
"Caldwell","Kentucky",4507,1260,75.4,21.1,92.8,37127
"Caldwell","Louisiana",3822,788,81.5,16.8,81.1,39385
"Caldwell","Missouri",3231,837,75,19.4,96.5,41169
"Caldwell","North Carolina",26499,8403,74.1,23.5,90.2,34357
"Caldwell","Texas",6516,4663,55.6,39.8,75.8,44152
"Caledonia","Vermont",5533,6445,42.7,49.7,96.5,45395
"Calhoun","Alabama",32803,13197,69.2,27.9,74.9,39962
"Calhoun","Arkansas",1554,636,68.6,28.1,74.5,30980
"Calhoun","Florida",4647,1236,76.6,20.4,80.8,32780
"Calhoun","Georgia",829,1178,41,58.2,34.7,26986
"Calhoun","Illinois",1719,739,67.3,28.9,98.9,50436
"Calhoun","Iowa",3466,1396,67.9,27.3,98.5,44484
"Calhoun","Michigan",31489,24154,53.6,41.1,82.2,42110
"Calhoun","Mississippi",4360,1884,68.8,29.7,67.5,30000
"Calhoun","South Carolina",3785,3569,50.1,47.3,53.9,40704
"Calhoun","Texas",4638,2118,66.7,30.4,81.5,47027
"Calhoun","West Virginia",2023,456,77.7,17.5,98.4,31679
"Callahan","Texas",4858,568,87.4,10.2,93.9,44902
"Callaway","Missouri",13052,4988,68.2,26.1,92,47964
"Calloway","Kentucky",10367,4749,64.6,29.6,92,39677
"Calumet","Wisconsin",15345,9634,58.1,36.5,94.3,65130
"Calvert","Maryland",24680,16669,56.8,38.4,81.4,95477
"Camas","Idaho",410,110,68.4,18.4,94.1,41154
"Cambria","Pennsylvania",40510,17798,67.3,29.6,94.1,41730
"Camden","Georgia",12287,5914,65.3,31.4,74.4,51990
"Camden","Missouri",16721,4706,75.4,21.2,96.5,43458
"Camden","New Jersey",59716,117308,32.6,64.1,65.3,61683
"Camden","North Carolina",3527,1266,71.4,25.6,82.1,56607
"Cameron","Louisiana",3256,323,88.2,8.7,95.7,64574
"Cameron","Pennsylvania",1495,469,73.9,23.2,98.3,41410
"Cameron","Texas",29432,59319,32.1,64.6,87,33179
"Camp","Texas",3201,1260,70.5,27.7,67.8,37079
"Campbell","Kentucky",25050,14658,59,34.5,94.3,54306
"Campbell","South Dakota",704,105,84.7,12.6,98.3,35729
"Campbell","Tennessee",9860,2248,78.9,18,97.7,31943
"Campbell","Virginia",19442,6597,71.4,24.2,82.1,47162
"Campbell","Wyoming",15778,1324,88,7.4,93.2,79488
"Canadian","Oklahoma",39969,11666,72.3,21.1,83.1,63629
"Candler","Georgia",2661,1023,70.8,27.2,65.9,35070
"Cannon","Tennessee",4006,1126,75.6,21.2,96.6,40689
"Canyon","Idaho",46755,16683,64.9,23.2,83,42105
"Cape Girardeau","Missouri",26939,8468,73.1,23,88.7,46516
"Cape May","New Jersey",28237,18626,58.4,38.5,89.8,56494
"Carbon","Montana",3729,1824,62.8,30.7,97.2,47831
"Carbon","Pennsylvania",18714,8917,65.2,31,95.8,48900
"Carbon","Utah",5055,1673,66,21.9,92.3,44724
"Carbon","Wyoming",4409,1279,71.1,20.6,88.8,55347
"Caribou","Idaho",2275,271,75,8.9,95.3,53586
"Carlisle","Kentucky",2094,432,80.5,16.6,97.2,39049
"Carlton","Minnesota",8160,8460,45.2,46.8,89.7,53016
"Caroline","Maryland",8999,3747,67.8,28.2,79.8,58632
"Caroline","Virginia",7143,6425,50.3,45.3,65.3,57218
"Carroll","Arkansas",6773,3334,63.1,31.1,89.6,36584
"Carroll","Georgia",29983,12422,68.5,28.4,75.6,46147
"Carroll","Illinois",4428,2437,60.2,33.1,96.9,47985
"Carroll","Indiana",6273,1891,72.9,22,96.8,50542
"Carroll","Iowa",6627,3305,63.5,31.7,97.3,48361
"Carroll","Kentucky",2588,1106,67.1,28.7,92.1,40160
"Carroll","Maryland",55593,24314,65.5,28.6,92.9,84790
"Carroll","Mississippi",3774,1648,69,30.1,65.6,31039
"Carroll","Missouri",3480,745,79.8,17.1,96.6,46002
"Carroll","New Hampshire",14635,12987,50.3,44.7,97.5,50866
"Carroll","Ohio",9067,3124,70.8,24.4,97.8,43779
"Carroll","Tennessee",7731,2323,74.8,22.5,86.8,35049
"Carroll","Virginia",10653,2557,78.4,18.8,97.1,32853
"Carson","Texas",2617,249,88.9,8.5,93.9,65026
"Carter","Kentucky",7587,2276,73.8,22.2,97.8,36406
"Carter","Missouri",2323,436,81.7,15.3,96.6,30962
"Carter","Montana",677,70,87,9,97.8,39659
"Carter","Oklahoma",13751,4002,74.2,21.6,74.4,41401
"Carter","Tennessee",16897,3453,80.5,16.4,96.4,31842
"Carteret","North Carolina",26228,9806,71,26.6,89.3,46534
"Carver","Minnesota",29063,21514,52.7,39,92.8,83773
"Cascade","Montana",19159,11961,57,35.6,89.2,44963
"Casey","Kentucky",5482,767,85.1,11.9,97.2,29934
"Cass","Illinois",3216,1617,63.6,32,86.3,45734
"Cass","Indiana",9697,3758,68.6,26.6,88.2,41940
"Cass","Iowa",4755,1946,67.4,27.6,97.7,43481
"Cass","Michigan",14241,7270,61.2,31.2,88.9,44346
"Cass","Minnesota",9982,4949,62.8,31.2,85.9,45045
"Cass","Missouri",33006,14816,65.1,29.2,91.7,60350
"Cass","Nebraska",8388,3461,66.5,27.4,96.9,64697
"Cass","North Dakota",39738,31291,50.4,39.7,91.7,52590
"Cass","Texas",9182,2250,79.1,19.4,79,35598
"Cassia","Idaho",5949,1036,72.7,12.7,81.8,42039
"Castro","Texas",1413,526,70.8,26.4,68.6,36402
"Caswell","North Carolina",5758,4549,54.8,43.3,62.5,35315
"Catahoula","Louisiana",3479,1322,71.6,27.2,67.1,36165
"Catawba","North Carolina",48062,21050,67.6,29.6,81.7,44332
